Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC08_L2SP_201035_20130412_20200912_02_T1,2013/04/12,42.0,36.04317,-5.09129
LC08_L2SP_201035_20130428_20200912_02_T1,2013/04/28,40.92,36.04338,-5.08113
LC08_L2SP_201035_20130514_20200912_02_T1,2013/05/14,63.13,36.04319,-5.12041
LC08_L2SP_201035_20130530_20200912_02_T1,2013/05/30,9.92,36.04316,-5.13574
LC08_L2SP_201035_20130615_20200912_02_T1,2013/06/15,3.46,36.04345,-5.10762
LC08_L2SP_201035_20130701_20200912_02_T1,2013/07/01,19.98,36.04337,-5.10144
LC08_L2SP_201035_20130717_20200912_02_T1,2013/07/17,6.53,36.04317,-5.09863
LC08_L2SP_201035_20130802_20200912_02_T1,2013/08/02,29.29,36.04342,-5.10572
LC08_L2SP_201035_20130818_20200913_02_T1,2013/08/18,8.03,36.04311,-5.11154
LC08_L2SP_201035_20130903_20200912_02_T1,2013/09/03,6.2,36.04323,-5.12299
LC08_L2SP_201035_20130919_20200912_02_T1,2013/09/19,6.32,36.04344,-5.10931
LC08_L2SP_201035_20131106_20200912_02_T1,2013/11/06,3.11,36.04316,-5.11716
LC08_L2SP_201035_20131122_20200912_02_T1,2013/11/22,88.54,36.04335,-5.10195
LC08_L2SP_201035_20131208_20200912_02_T1,2013/12/08,10.99,36.04321,-5.13809
LC08_L2SP_201035_20131224_20200912_02_T1,2013/12/24,73.29,36.04314,-5.13153
LC08_L2SP_201035_20140109_20200912_02_T1,2014/01/09,53.12,36.04301,-5.12468
LC08_L2SP_201035_20140125_20200912_02_T1,2014/01/25,16.03,36.04338,-5.12897
LC08_L2SP_201035_20140210_20200911_02_T1,2014/02/10,14.33,36.04305,-5.12284
LC08_L2SP_201035_20140226_20200911_02_T1,2014/02/26,7.86,36.04347,-5.12169
LC08_L2SP_201035_20140314_20200911_02_T1,2014/03/14,60.71,36.04308,-5.13398
LC08_L2SP_201035_20140330_20200911_02_T1,2014/03/30,29.98,36.04318,-5.12361
LC08_L2SP_201035_20140415_20200911_02_T1,2014/04/15,40.49,36.04342,-5.1223
LC08_L2SP_201035_20140501_20200911_02_T1,2014/05/01,44.89,36.04329,-5.13198
LC08_L2SP_201035_20140517_20200911_02_T1,2014/05/17,51.96,36.04323,-5.10609
LC08_L2SP_201035_20140602_20200911_02_T1,2014/06/02,1.47,36.04325,-5.09964
LC08_L2SP_201035_20140618_20200911_02_T1,2014/06/18,53.5,36.04303,-5.09606
LC08_L2SP_201035_20140704_20200911_02_T1,2014/07/04,7.11,36.04304,-5.09318
LC08_L2SP_201035_20140720_20200911_02_T1,2014/07/20,3.5,36.0435,-5.08667
LC08_L2SP_201035_20140805_20200911_02_T1,2014/08/05,0.02,36.04347,-5.0999
LC08_L2SP_201035_20140821_20200911_02_T1,2014/08/21,0.52,36.04332,-5.09912
LC08_L2SP_201035_20140906_20200911_02_T1,2014/09/06,10.58,36.04338,-5.09905
LC08_L2SP_201035_20140922_20200911_02_T1,2014/09/22,27.12,36.04313,-5.08047
LC08_L2SP_201035_20141008_20200911_02_T1,2014/10/08,11.37,36.04343,-5.10047
LC08_L2SP_201035_20141024_20200910_02_T1,2014/10/24,1.52,36.04327,-5.10441
LC08_L2SP_201035_20141109_20200910_02_T1,2014/11/09,6.69,36.04312,-5.11171
LC08_L2SP_201035_20141125_20200910_02_T1,2014/11/25,23.97,36.04332,-5.1061
LC08_L2SP_201035_20141211_20200910_02_T1,2014/12/11,65.09,36.04304,-5.08876
LC08_L2SP_201035_20141227_20200910_02_T1,2014/12/27,47.52,36.04325,-5.10273
LC08_L2SP_201035_20150112_20200910_02_T1,2015/01/12,72.28,36.04345,-5.11266
LC08_L2SP_201035_20150128_20200910_02_T1,2015/01/28,6.52,36.04305,-5.11247
LC08_L2SP_201035_20150213_20200909_02_T1,2015/02/13,5.46,36.04341,-5.10373
LC08_L2SP_201035_20150301_20200909_02_T1,2015/03/01,44.84,36.04321,-5.12558
LC08_L2SP_201035_20150317_20200909_02_T1,2015/03/17,77.68,36.04339,-5.11817
LC08_L2SP_201035_20150402_20200909_02_T1,2015/04/02,43.2,36.04326,-5.1086
LC08_L2SP_201035_20150418_20200909_02_T1,2015/04/18,36.22,36.04339,-5.15292
